county1,distance,county2,n_distance
1,23.60190218,9,0.033873032
1,29.03614144,67,0.049049167
1,29.75956168,149,0.051069454
1,32.93378942,169,0.059934081
1,42.40751519,109,0.086391241
1,45.06252599,171,0.093805858
1,50.27246377,17,0.108355588
1,55.84468911,137,0.123917075
1,58.85256303,71,0.132317128
1,61.1660254,61,0.138777906
1,61.77035875,57,0.140465621
1,63.37702775,13,0.144952546
1,66.93926783,187,0.154900771
1,69.89489191,125,0.163154907
1,74.18128171,129,0.175125456
1,76.74947037,83,0.182297605
1,82.80733058,167,0.199215318
1,83.2033279,95,0.200321215
1,83.86597986,117,0.202171796
1,87.50339772,131,0.212329969
1,93.27000231,143,0.228434296
1,95.59224746,179,0.234919602
1,97.26069855,107,0.239579065
1,105.3344642,135,0.262126573
1,105.7809921,119,0.263373586
1,106.178056,21,0.264482462
1,106.1838298,175,0.264498586
1,107.4851949,161,0.268132893
1,109.5030011,73,0.273767996
1,118.28097,203,0.298282124
1,118.660964,115,0.299343328
1,120.7523451,5,0.305183903
1,121.1775563,123,0.306371385
1,121.9682011,39,0.308579409
1,124.7514171,163,0.316352063
1,128.8435495,113,0.327780112
1,129.9675299,133,0.330919039
1,130.0878026,155,0.331254923
1,131.0835119,11,0.334035628
1,133.998119,173,0.342175216
1,134.389384,27,0.343267897
1,134.5488505,51,0.343713237
1,137.7627889,147,0.352688764
1,138.4729125,139,0.354671918
1,139.1518855,195,0.356568078
1,147.633359,189,0.380254187
1,152.3483332,157,0.393421638
1,152.4452732,105,0.393692361
1,152.7230734,121,0.394468171
1,153.0893998,99,0.395491206
1,153.0954936,49,0.395508224
1,156.9023593,103,0.406139612
1,157.7534248,15,0.408516372
1,158.317537,41,0.410091762
1,158.86643,19,0.411624648
1,161.3215722,29,0.418481095
1,162.0750103,53,0.420585212
1,163.9204564,145,0.425738967
1,164.740622,35,0.428029434
1,168.2092939,25,0.437716352
1,168.4073262,81,0.438269394
1,171.9679692,85,0.448213159
1,172.0456575,63,0.448430118
1,172.4125267,141,0.449454669
1,175.8855248,79,0.459153669
1,180.5999636,77,0.472319626
1,181.638696,177,0.475220481
1,182.0976347,93,0.476502154
1,182.7636056,191,0.478362003
1,182.7991419,37,0.478461245
1,183.8455361,183,0.481383497
1,183.9145803,55,0.481576316
1,184.1503571,45,0.482234767
1,184.6191241,75,0.483543887
1,186.5620162,23,0.488969778
1,188.0072226,159,0.493005789
1,192.267132,91,0.504902386
1,193.8034144,65,0.509192744
1,193.8552396,201,0.509337475
1,195.4417644,33,0.513768144
1,196.4047426,197,0.516457442
1,197.6137837,89,0.519833916
1,197.8232354,199,0.520418849
1,200.337608,47,0.527440707
1,202.6092489,181,0.533784692
1,202.9416553,7,0.534712999
1,204.7493353,101,0.539761285
1,207.2639498,43,0.546783819
1,208.3412307,193,0.549792328
1,208.7731194,185,0.550998458
1,210.1098342,165,0.554731486
1,214.3972283,87,0.566704839
1,215.5182135,111,0.569835401
1,217.759,3,0.576093219
1,221.2001703,59,0.585703334
1,221.570095,153,0.586736418
1,227.3524738,31,0.602884797
1,227.9255834,151,0.604485314
1,232.3241261,69,0.616769071
1,233.8457401,127,0.621018464
1,253.6956025,97,0.676452935
3,12.40193919,153,0.002595031
3,20.82340556,181,0.026113558
3,31.99643237,87,0.057316336
3,35.504906,127,0.067114408
3,41.65900614,77,0.084300889
3,44.22679115,199,0.091471911
3,47.2033455,151,0.099784498
3,59.04438487,165,0.132852826
3,60.45643133,55,0.136796232
3,62.24113953,145,0.141780365
3,63.82524367,69,0.146204273
3,65.59950209,157,0.151159223
3,73.59011067,59,0.173474499
3,76.46389492,65,0.181500082
3,80.60562156,81,0.193066632
3,80.88622529,189,0.193850271
3,88.15629966,133,0.21415332
3,89.45957938,193,0.217792973
3,94.33901018,163,0.231419701
3,98.383768,27,0.242715447
3,99.7299215,191,0.246474834
3,103.87146,121,0.258040859
3,110.9555592,47,0.277824537
3,117.4384768,119,0.295929303
3,117.7089279,5,0.296684589
3,117.8781324,25,0.297157124
3,120.0005784,185,0.303084453
3,126.0346346,159,0.319935689
3,126.8606717,51,0.322242553
3,135.1989391,49,0.345528732
3,137.9639086,101,0.353250429
3,141.427142,135,0.362922159
3,141.7091673,79,0.363709768
3,142.1050329,83,0.364815297
3,147.2338797,117,0.379138565
3,152.6727103,33,0.394327522
3,154.4040735,13,0.399162679
3,154.9944204,173,0.400811334
3,156.4058852,35,0.404753115
3,160.2721002,61,0.415550247
3,163.2314034,21,0.423814657
3,170.8244353,23,0.445019626
3,172.2094292,29,0.448887482
3,173.9692321,139,0.453802062
3,178.5592759,167,0.466620622
3,180.1720831,171,0.471124689
3,180.9996991,137,0.473435962
3,186.1168478,115,0.487726562
3,188.149467,149,0.493403033
3,188.5417798,41,0.49449864
3,192.9877642,45,0.506914887
3,197.6110078,129,0.519826164
3,198.4520101,17,0.522174821
3,199.4480164,147,0.524956356
3,203.5083566,107,0.536295619
3,206.3349581,9,0.544189435
3,208.5306529,39,0.550321325
3,213.1425484,125,0.56320091
3,213.4508571,19,0.56406192
3,216.4424885,169,0.572416613
3,217.759,1,0.576093219
3,225.1822055,183,0.596823915
3,229.8683018,179,0.60991072
3,230.36672,113,0.611302646
3,231.408634,57,0.614212387
3,237.1066214,109,0.630125088
3,243.1962659,67,0.647131565
3,243.292113,53,0.647399236
3,249.2565359,203,0.664056008
3,249.9046645,143,0.665866029
3,259.4301947,75,0.692467862
3,259.9206635,105,0.693837588
3,262.3623992,187,0.700656594
3,263.0255909,95,0.702508682
3,265.0055738,71,0.708038156
3,265.8324452,123,0.71034735
3,271.4398129,175,0.726006978
3,277.4409699,155,0.742766337
3,284.7000701,91,0.763038738
3,287.6437831,131,0.77125961
3,288.3814367,63,0.773319646
3,288.4710985,99,0.773570044
3,290.8804727,73,0.780298674
3,291.5662031,11,0.782213705
3,303.1626124,161,0.814598858
3,303.6335687,197,0.815914092
3,308.24347,93,0.828788107
3,315.3366176,103,0.848597055
3,316.9571316,195,0.853122645
3,326.9577427,37,0.881051231
3,329.4969214,43,0.888142365
3,332.240931,89,0.895805527
3,335.6728939,141,0.905389929
3,337.878587,31,0.911549741
