Year,County ANSI,planted,harvested,yields
2012,1,169500,161000,76
2012,5,75000,69000,33.3
2012,9,43500,42300,87
2012,11,309500,305000,145.7
2012,13,27500,26500,93.8
2012,15,147000,141500,157.9
2012,17,92000,90500,113.2
2012,19,292500,288000,108.9
2012,21,220500,217000,129.2
2012,23,105500,104000,51.1
2012,27,104500,78600,30.2
2012,29,125500,124000,89.3
2012,33,93500,90000,34.7
2012,35,75500,73000,34.3
2012,37,233500,226000,159.3
2012,39,112000,110500,134.4
2012,41,124000,122500,99.4
2012,45,180000,179000,96.7
2012,47,45500,42500,40
2012,49,95000,91000,42.9
2012,51,133000,125000,29.3
2012,53,156000,153000,63.9
2012,55,49000,46000,30.1
2012,57,155500,151500,114.5
2012,59,79500,77000,76.7
2012,61,126000,122000,103.4
2012,63,114500,112500,101.1
2012,65,73500,69000,31.5
2012,67,181000,177500,134.3
2012,69,5000,4200,55.7
2012,71,103000,101000,162.6
2012,73,252500,247000,140
2012,75,368000,361000,105.7
2012,77,42500,37500,37.7
2012,79,111000,100500,28.9
2012,83,74000,71500,81.6
2012,85,107000,95500,97.4
2012,89,94500,92600,140.7
2012,91,207500,202500,119.2
2012,93,92000,90500,102.4
2012,95,171500,167500,160.8
2012,99,332000,324000,134.8
2012,103,284500,280000,142.3
2012,105,318500,311000,83.3
2012,107,217000,213000,96.5
2012,109,160000,156000,139
2012,111,106500,101500,124.4
2012,113,346500,341000,109.5
2012,115,168000,165000,102.8
2012,117,217000,206500,85.7
2012,119,114000,107000,54.8
2012,121,80000,60000,19
2012,123,114000,112000,123.9
2012,125,144500,141000,110.2
2012,129,87500,86000,97.4
2012,131,148000,145500,180.1
2012,133,57500,55000,69.6
2012,135,176000,170000,73.2
2012,137,158500,154500,112.4
2012,139,98000,97000,115.1
2012,141,253500,249000,142.9
2012,143,114000,112000,161.9
2012,145,55000,49000,23.3
2012,147,150000,148000,130.8
2012,149,190000,186000,90.5
2012,151,10000,9800,47.6
2012,153,24500,23700,64.4
2012,157,72300,67500,45.5
2012,159,83500,48000,26.5
2012,163,99000,92500,58.6
2012,165,51000,46000,50
2012,167,251000,245500,131.3
2012,169,73000,71200,75.9
2012,171,62500,61000,117.3
2012,173,194000,187500,72.4
2012,175,94000,92000,148.4
2012,177,183000,167500,102.8
2012,179,161000,158500,133.4
2012,181,17300,16600,53.3
2012,183,239500,235500,100.1
2012,185,54000,50500,52.1
2012,187,176000,173000,164.9
2012,189,112000,83000,21.1
2012,191,139000,112500,39.7
2012,193,110500,108000,69.2
2012,195,252500,248500,139.8
2012,197,109000,107000,126
2012,199,21900,20100,33.7
2012,201,103000,99000,99.6
2012,203,146500,144000,102.5
2013,1,154500,152900,153.3
2013,7,78900,78100,179.9
2013,9,42400,42100,176.2
2013,11,291500,289500,185.9
2013,15,147500,145500,199.6
2013,17,96000,95100,184.1
2013,19,291000,283500,168.1
2013,21,212000,209000,199.8
2013,25,78000,75900,153.5
2013,27,88800,83500,162.2
2013,29,122500,122100,182.2
2013,33,76700,74800,154.1
2013,35,69900,68700,171.6
2013,37,240000,238000,193.8
2013,41,121500,120300,187.1
2013,45,173000,171800,186.4
2013,47,41800,40000,154.2
2013,49,88300,86400,172.4
2013,51,109000,108000,161.8
2013,53,148500,146500,164
2013,55,40000,39600,164.3
2013,57,139500,137300,171.4
2013,59,78100,77700,188.7
2013,61,111500,110000,167.4
2013,63,112000,111400,192.2
2013,65,74700,69700,175.1
2013,67,171000,169800,178.5
2013,71,95800,93900,176
2013,73,241000,236000,184.5
2013,75,368500,360000,174.4
2013,77,33400,33000,172.7
2013,79,102000,97400,151
2013,81,47600,47000,153
2013,83,66100,65100,182.9
2013,85,104500,98700,175.5
2013,87,7000,6800,154.4
2013,89,91200,89900,191.7
2013,91,205000,203000,172.1
2013,93,85200,84800,182.2
2013,95,162500,160800,191
2013,97,9700,8400,153.7
2013,99,318000,314500,186.8
2013,103,280000,276500,171.3
2013,105,312500,305000,179.1
2013,107,208500,207000,198.1
2013,109,146500,145300,187.8
2013,111,102000,98900,160.6
2013,113,340000,334000,188.6
2013,115,159000,157900,192.7
2013,117,190500,185600,170.5
2013,119,104000,101900,164.4
2013,121,74000,73400,159.7
2013,123,106000,105000,191.2
2013,125,141000,140000,163.3
2013,127,23400,23300,170.7
2013,131,142500,141300,177.1
2013,133,49300,48300,147
2013,135,169000,166500,182.9
2013,137,142000,140400,191.2
2013,139,93500,92500,181.1
2013,141,253000,250000,189.6
2013,143,109000,107900,180.5
2013,145,49000,48500,136.1
2013,147,137500,136000,187.4
2013,149,159500,157900,164.3
2013,153,21500,21300,169.9
2013,155,36800,35500,187.2
2013,159,67000,65500,147.7
2013,161,70200,68400,182.3
2013,163,87100,86100,158.5
2013,165,44100,44000,171.3
2013,167,237500,235000,198.2
2013,169,62300,61700,169
2013,171,49800,49300,168.2
2013,173,185000,183200,178.2
2013,175,91000,89400,192.4
2013,177,178500,170500,182
2013,179,156500,155500,177.1
2013,181,15300,15000,162.3
2013,183,243000,240000,176.9
2013,185,45300,44000,161.5
2013,187,157500,156200,186.9
2013,189,100000,94800,160.6
2013,191,112000,104100,154
2013,193,90700,86400,187.1
2013,195,246500,244000,179.8
2013,197,106000,105400,149.1
2013,199,18900,18700,173.5
2013,201,96000,94100,173.2
2013,203,134000,133100,192.3
2014,1,161000,159300,202.4
2014,3,10800,10700,192.8
2014,5,74100,72800,182.1
2014,7,71300,70000,191.4
2014,9,40400,39900,196.6
2014,11,277000,275000,196
2014,13,22300,21800,198.2
2014,15,143000,141300,196.1
2014,17,99400,98600,208.3
2014,19,279000,277000,216.5
2014,21,210000,208500,217.8
2014,23,95000,94400,198.1
2014,25,84800,84100,173.1
2014,27,97800,91900,192.7
2014,29,123500,122200,212.6
2014,33,89700,88900,184.7
2014,35,69900,69200,196.1
2014,37,222500,220000,194.1
2014,39,106500,105700,221
2014,41,119000,117900,224
2014,45,172500,171300,201.5
2014,49,91700,87300,196.4
2014,51,121500,119900,180.3
2014,53,150000,148000,201.1
2014,55,41400,40800,160.3
2014,57,131000,126200,198.2
2014,59,77400,77000,187.6
2014,61,117000,115800,198.8
2014,63,105000,104200,205.1
2014,67,177000,175400,218.5
2014,71,99000,98100,207.9
2014,73,234000,231500,194.2
2014,75,346000,342500,186.2
2014,77,40000,39400,169.2
2014,79,101500,100700,185.4
2014,81,52700,51600,165.2
2014,83,67100,66300,199.9
2014,85,101000,96800,183.2
2014,87,8000,7900,142.3
2014,89,82100,80600,185.6
2014,91,194000,190000,174.3
2014,95,161500,159900,201.4
2014,97,9300,7600,151.2
2014,99,293500,288000,197.9
2014,101,78600,78000,177.4
2014,103,268000,265500,181.6
2014,105,305000,302500,211.6
2014,107,201500,200000,230.8
2014,109,149500,148000,211.6
2014,111,90700,88000,184.3
2014,113,325000,322500,218.3
2014,115,162000,160700,236
2014,117,197500,195500,199.5
2014,119,113000,111500,191.6
2014,121,76400,75700,183.8
2014,123,103000,101900,207.3
2014,125,140000,138900,195.7
2014,127,25700,25600,163.2
2014,129,82500,81900,222.7
2014,131,139000,138000,193.5
2014,133,54800,54400,181.4
2014,135,171500,169400,205.1
