Year,Name,Code,Yield,Harvest area,region
2018,ALABAMA,1,156,250000,3
2017,ALABAMA,1,167,235000,3
2016,ALABAMA,1,120,315000,3
2015,ALABAMA,1,147,245000,3
2014,ALABAMA,1,159,285000,3
2013,ALABAMA,1,147,295000,3
2012,ALABAMA,1,98,295000,3
2011,ALABAMA,1,114,250000,3
2010,ALABAMA,1,115,250000,3
2009,ALABAMA,1,108,250000,3
2008,ALABAMA,1,104,235000,3
2007,ALABAMA,1,78,280000,3
2006,ALABAMA,1,72,165000,3
2005,ALABAMA,1,119,200000,3
2004,ALABAMA,1,123,195000,3
2003,ALABAMA,1,122,190000,3
2002,ALABAMA,1,88,180000,3
2001,ALABAMA,1,107,150000,3
2000,ALABAMA,1,65,165000,3
1999,ALABAMA,1,103,200000,3
1998,ALABAMA,1,63,200000,3
1997,ALABAMA,1,87,250000,3
1996,ALABAMA,1,82,270000,3
1995,ALABAMA,1,75,220000,3
1994,ALABAMA,1,96,260000,3
1993,ALABAMA,1,55,250000,3
1992,ALABAMA,1,94,295000,3
1991,ALABAMA,1,80,210000,3
1990,ALABAMA,1,58,240000,3
1989,ALABAMA,1,81,180000,3
1988,ALABAMA,1,44,170000,3
1987,ALABAMA,1,72,250000,3
1986,ALABAMA,1,57,270000,3
1985,ALABAMA,1,75,325000,3
1985,ALABAMA,1,75,327800,3
1985,ALABAMA,1,75,74.2,3
1984,ALABAMA,1,65,385000,3
1984,ALABAMA,1,65,390200,3
1984,ALABAMA,1,65,64.1,3
1983,ALABAMA,1,59,305000,3
1983,ALABAMA,1,59,309000,3
1983,ALABAMA,1,59,58.2,3
1982,ALABAMA,1,66,380000,3
1981,ALABAMA,1,55,530000,3
1980,ALABAMA,1,36,423000,3
1979,ALABAMA,1,61,502000,3
1979,ALABAMA,1,61,513000,3
1979,ALABAMA,1,61,59.7,3
1978,ALABAMA,1,50,544000,3
1978,ALABAMA,1,50,576000,3
1978,ALABAMA,1,50,47.2,3
1977,ALABAMA,1,29,375000,3
1977,ALABAMA,1,29,12.9,3
1976,ALABAMA,1,60,800000,3
1976,ALABAMA,1,60,54.5,3
1975,ALABAMA,1,50,660000,3
1975,ALABAMA,1,50,44,3
1974,ALABAMA,1,43,630000,3
1974,ALABAMA,1,43,39,3
1973,ALABAMA,1,46,610000,3
1973,ALABAMA,1,46,40.4,3
1972,ALABAMA,1,48,545000,3
1972,ALABAMA,1,48,41.5,3
1971,ALABAMA,1,45,626000,3
1970,ALABAMA,1,26.5,555000,3
1969,ALABAMA,1,33,654000,3
1968,ALABAMA,1,36,711000,3
1967,ALABAMA,1,47,899000,3
1966,ALABAMA,1,34,872000,3
1965,ALABAMA,1,43,945000,3
1964,ALABAMA,1,35.5,1020000,3
1963,ALABAMA,1,35.5,1133000,3
1962,ALABAMA,1,27.5,1144000,3
1961,ALABAMA,1,33,1330000,3
1960,ALABAMA,1,26,1705000,3
1959,ALABAMA,1,26,1807000,3
1958,ALABAMA,1,31,1794000,3
1957,ALABAMA,1,25,1907000,3
1956,ALABAMA,1,24,1989000,3
1955,ALABAMA,1,29,2030000,3
1954,ALABAMA,1,13,2121000,3
1953,ALABAMA,1,22,2040000,3
1952,ALABAMA,1,11,2179000,3
1951,ALABAMA,1,19,2281000,3
1950,ALABAMA,1,21.5,2443000,3
1949,ALABAMA,1,20,2346000,3
1948,ALABAMA,1,21,2412000,3
1947,ALABAMA,1,15,2530000,3
1946,ALABAMA,1,15.5,2531000,3
1945,ALABAMA,1,15.5,2719000,3
1944,ALABAMA,1,15.2,2847000,3
1943,ALABAMA,1,14.5,3128000,3
1942,ALABAMA,1,13.5,3047000,3
1941,ALABAMA,1,14.5,3214000,3
1940,ALABAMA,1,11.5,3452000,3
1939,ALABAMA,1,9.1,3425000,3
1938,ALABAMA,1,14,3564000,3
1937,ALABAMA,1,14.5,3287000,3
1936,ALABAMA,1,12.5,3376000,3
1935,ALABAMA,1,13,3688000,3
1934,ALABAMA,1,12.2,3630000,3
1933,ALABAMA,1,12.2,3141000,3
1932,ALABAMA,1,11.5,3165000,3
1931,ALABAMA,1,14,3047000,3
1930,ALABAMA,1,10.5,2771000,3
1929,ALABAMA,1,14,2590000,3
1928,ALABAMA,1,12,2582000,3
1927,ALABAMA,1,14,2766000,3
1926,ALABAMA,1,14.5,2637000,3
